place_name,latitude,longitude,address,phone_number,review_count,ratings
Ruma's Kitchen Home Made,23.8036582,90.4298629,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
Ruma's Kitchen Home Made,23.7778654,90.4162872,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
Ruma's Kitchen Home Made,23.7461228,90.4111998,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
Ruma's Kitchen Home Made,23.7636321,90.4183174,"Ruma's Kitchen Home Made, House No-3, Muktijodhdha Siraj Road, Sarkar Bari, Dhaka 1212",01708-415717,4,4.8
KNACK,23.7804304,90.4022018,"KNACK, Dhaka 1212",01303-960229,15,4.2
Cookants,23.7804494,90.4232353,"Cookants, 1st Floor, Homesteed Gulshan Link Tower, 1212 Gulshan Badda Link Rd, Dhaka 1216",01777-709890,16,4.5
Cookants,23.7634728,90.3565926,"Cookants, 1st Floor, Homesteed Gulshan Link Tower, 1212 Gulshan Badda Link Rd, Dhaka 1216",01777-709890,16,4.5
Nopur Home Kitchen,23.7948444,90.4264436,"Nopur Home Kitchen, End of Sundorbon currier service, House 32, 3rd floor, Somotasarok, Nurerchala, Road, Vatara 1212",01595-532060,5,5.0
MEAL99,23.7838581,90.3998663,"MEAL99, Banani - Road# 2, House# 28, 1213",01826-392908,8,3.3
MEAL99,23.795867,90.4150407,"MEAL99, Banani - Road# 2, House# 28, 1213",01826-392908,8,3.3
Tiffinbox,23.7918771,90.4031899,"QCR3+Q74 Tiffinbox, Rd No 13A, Dhaka 1212",01708-132132,39,3.8
Dhaka Lunch,23.7792208,90.4183724,"Dhaka Lunch, House 10 Rd 135, Dhaka 1212",01744-602388,30,4.7
Ideal Homemade Food Products,23.7535622,90.4397099,"QCW8+24C Ideal Homemade Food Products, Unnamed Road, Dhaka 1212",01744-602388,2,2.0
Homemade Food By Tisha,23.7789635,90.4067909,"Homemade Food By Tisha, Cha-62/2, Wireless Gate, Mohakhali, Dhaka Banani, 1213",01947-673712,2,5.0
Meherin's Kitchen,23.7926146,90.4084484,"House# 78, Meherin's Kitchen, Rd 12, Dhaka 1213",01715-025585,7,4.9
G.M.T Catering Services,23.8000348,90.4064056,"G.M.T Catering Services, 5/A Rd No 18, Dhaka 1213",01976-786468,42,5.0
Khana's Banani,23.7904551,90.408128,"Block-E, Khana's Banani, 2nd Floor, House-116 Rd No. 11, Dhaka 1212",01325-413742,584,4.2
Pizza & More - All the Goodness of Italian Food,23.7954894,90.4116289,"Pizza & More - All the Goodness of Italian Food, House No- 9/A (NW1) (Ground Floor) Road No-53, Dhaka 1212",01954-667711,251,4.3
"Madchef Banani, Dhaka.",23.7900096,90.4091706,"5th Floor, Plot 47, Madchef Banani, Dhaka., Block H Road No. 11, Dhaka 1213",01749-960363,Moderately expensive,
Pizza & More - All the Goodness of Italian Food,23.7954894,90.4116289,"Pizza & More - All the Goodness of Italian Food, House No- 9/A (NW1) (Ground Floor) Road No-53, Dhaka 1212",01954-667711,251,4.3
Pizza & More - All the Goodness of Italian Food,23.7705152,90.3963427,"Pizza & More - All the Goodness of Italian Food, House No- 9/A (NW1) (Ground Floor) Road No-53, Dhaka 1212",01954-667711,251,4.3
KNACK,23.7804304,90.4022018,"KNACK, Dhaka 1212",01303-960229,15,4.2
KNACK,23.7912193,90.4361024,"KNACK, Dhaka 1212",01303-960229,15,4.2
Tiffinbox,23.7918771,90.4031899,"QCR3+Q74 Tiffinbox, Rd No 13A, Dhaka 1212",01708-132132,39,3.8
Cheez Banani,23.7927561,90.4081902,"2nd Floor, Cheez Banani, House 37 Rd 12, Dhaka 1213",01316-195220,Moderately expensive,
Food Buddy,23.7926505,90.4222578,"Food Buddy, lakeside, Kha 66/8, Shahjadpur, Dhaka 1212",01930-000300,21,4.9
PIZZA VIRUS,23.8090535,90.4153305,"PIZZA VIRUS, Ka-100, Poschimpara, Kalachandpur Main Road, Dhaka 1212",01737-075602,10,4.6
Bachelor's Mohakhali,23.7773985,90.3963085,"Q9GW+XG3 Bachelor's Mohakhali, Arjotpara, VIP Road, Dhaka",01602-295322,10,4.7
